Date,rmrf,Ermrf,NdrMinus,Ncf,Rf,FFS1BM1,FFS1BM3,FFS1BM5,FFS3BM1,FFS3BM3,FFS3BM5,FFS5BM1,FFS5BM3,FFS5BM5
1962-09-01 0:00,0.0287,0.026,0.048,-0.0454,0.0005,0.0889,0.0262,0.0251,0.0286,0.0244,0.0221,0.0536,0.0111,0.0127
1962-12-01 0:00,0.1113,0.0112,0.0607,0.0394,0.0071,0.0125,0.0766,0.0861,0.0837,0.1083,0.1044,0.1373,0.1385,0.1601
1963-03-01 0:00,0.0535,0.0052,0.017,0.0313,0.004,0.1597,0.0816,0.1436,0.0224,0.0487,0.1092,0.0546,0.0557,0.1072
1963-06-01 0:00,0.0406,0.0068,0.0964,-0.0626,0.0041,0.1431,0.033,0.0984,0.0431,0.0244,0.0937,0.0457,0.0647,0.1226
1963-09-01 0:00,0.0293,-0.0023,0.0327,-0.0011,0.005,0.011,0.0044,0.0276,-0.0101,0.0368,0.012,0.0415,0.045,0.01
1963-12-01 0:00,0.0346,-0.0044,0.0111,0.0279,0.0023,-0.0436,-0.0148,-0.0066,-0.0116,0.0262,-0.0032,0.0597,-0.0019,0.0352
1964-03-01 0:00,0.0512,-0.005,0.0347,0.0214,0.0089,0.0832,0.084,0.1224,0.0075,0.0887,0.1395,0.0607,0.068,0.0499
1964-06-01 0:00,0.0281,-0.0053,0.0143,0.0191,0.0054,-0.0131,0.0184,0.0178,-0.0168,0.0178,0.0238,0.029,0.0197,0.0841
1964-09-01 0:00,0.0298,-0.0022,0.0308,0.0013,0.0056,0.0645,0.0847,0.0772,0.0063,0.0601,0.0236,0.0404,0.0793,0.0435
1964-12-01 0:00,0.0063,-0.003,0.0048,0.0045,0.0062,-0.0002,0.0068,0.0138,0.0455,0.0121,0.0145,0.0187,0.0108,-0.0206
1965-03-01 0:00,0.0253,-0.0023,0.032,-0.0044,0.0066,0.1177,0.0986,0.1472,0.0869,0.0939,0.1073,0.032,0.0103,0.0234
1965-06-01 0:00,-0.0342,-0.0054,-0.0088,-0.02,0.0001,-0.0891,-0.0658,-0.07,-0.0537,-0.065,-0.0314,-0.015,-0.0389,-0.0542
1965-09-01 0:00,0.0688,-0.0016,0.0578,0.0126,0.0097,0.081,0.094,0.1086,0.103,0.1292,0.1537,0.0874,0.0789,0.107
1965-12-01 0:00,0.0349,-0.0108,0.0275,0.0181,0.0041,0.1616,0.1171,0.2013,0.0976,0.1424,0.13,0.0323,0.0476,0.0546
1966-03-01 0:00,-0.0293,-0.012,-0.028,0.0107,0.0021,0.1292,0.0655,0.1252,0.0195,0.0406,0.0326,-0.0415,-0.0184,-0.0397
1966-06-01 0:00,-0.0512,-0.0035,-0.0255,-0.0222,0.0021,-0.0525,-0.0477,-0.0816,-0.0335,-0.0279,-0.0863,-0.0504,-0.0499,-0.0511
1966-09-01 0:00,-0.111,-0.003,-0.1005,-0.0076,0.0035,-0.1609,-0.147,-0.1334,-0.1395,-0.0939,-0.1224,-0.1102,-0.0678,-0.1182
1966-12-01 0:00,0.0523,0,0.0585,-0.0063,0.0066,0.0427,0.0188,0.017,0.1,0.0393,0.0054,0.0509,0.0832,0.0463
1967-03-01 0:00,0.1242,-0.0039,0.0947,0.0335,0.0082,0.3331,0.2937,0.2824,0.243,0.1871,0.1888,0.1394,0.0842,0.1803
1967-06-01 0:00,0.0183,-0.0051,0.0073,0.0161,-0.0002,0.2167,0.1314,0.1105,0.0576,0.0464,0.0395,0.0172,-0.0285,0.0034
1967-09-01 0:00,0.0635,0.0012,0.0446,0.0177,0.003,0.1908,0.1837,0.1793,0.0731,0.0985,0.1319,0.0675,0.0315,0.0711
1967-12-01 0:00,0.0011,-0.008,0.0148,-0.0057,0.0032,0.131,0.0505,0.0478,0.0533,0.0123,0.0212,0.021,-0.0141,-0.0394
1968-03-01 0:00,-0.0788,-0.0054,-0.0872,0.0138,0.0009,-0.0978,-0.033,-0.0042,-0.1186,-0.0718,-0.0342,-0.0723,-0.0295,-0.047
1968-06-01 0:00,0.1144,0.003,0.1428,-0.0314,0.0021,0.2921,0.2751,0.2611,0.2089,0.156,0.2332,0.1162,0.0553,0.1183
1968-09-01 0:00,0.0261,-0.0151,-0.013,0.0542,0.0016,0.0557,0.0645,0.1072,0.0286,0.0075,0.0903,-0.0354,0.0577,0.0955
1968-12-01 0:00,0.0172,-0.0036,0.0457,-0.025,0.0029,0.0788,0.0725,0.0829,0.0454,0.0901,0.0538,-0.0187,0.0374,0.008
